Date,Price
Mar 05  2019,0.044758
Mar 04  2019,0.042017
Mar 03  2019,0.041079
Mar 02  2019,0.041326
Mar 01  2019,0.041527
Feb 28  2019,0.040925
Feb 27  2019,0.045331
Feb 26  2019,0.041585
Feb 25  2019,0.055959
Feb 24  2019,0.046238
Feb 23  2019,0.045685
Feb 22  2019,0.049331
Feb 21  2019,0.045742
Feb 20  2019,0.042382
Feb 19  2019,0.041816
Feb 18  2019,0.050942
Feb 17  2019,0.037022
Feb 16  2019,0.036597
Feb 15  2019,0.036052
Feb 14  2019,0.036450
Feb 13  2019,0.037202
Feb 12  2019,0.036761
Feb 11  2019,0.037328
Feb 10  2019,0.037353
Feb 09  2019,0.037717
Feb 08  2019,0.038052
Feb 07  2019,0.035256
Feb 06  2019,0.034702
Feb 05  2019,0.035748
Feb 04  2019,0.035303
Feb 03  2019,0.035533
Feb 02  2019,0.035633
Feb 01  2019,0.035295
Jan 31  2019,0.035255
Jan 30  2019,0.032225
Jan 29  2019,0.030439
Jan 28  2019,0.031772
Jan 27  2019,0.033450
Jan 26  2019,0.033587
Jan 25  2019,0.033670
Jan 24  2019,0.043293
Jan 23  2019,0.036731
Jan 22  2019,0.035239
Jan 21  2019,0.032854
Jan 20  2019,0.026261
Jan 19  2019,0.029791
Jan 18  2019,0.039300
Jan 17  2019,0.028007
Jan 16  2019,0.023246
Jan 15  2019,0.022269
Jan 14  2019,0.021405
Jan 13  2019,0.023719
Jan 12  2019,0.026199
Jan 11  2019,0.021581
Jan 10  2019,0.023502
Jan 09  2019,0.024344
Jan 08  2019,0.024139
Jan 07  2019,0.025631
Jan 06  2019,0.028317
Jan 05  2019,0.028064
Jan 04  2019,0.022861
Jan 03  2019,0.022838
Jan 02  2019,0.021875
Jan 01  2019,0.021324
Dec 31  2018,0.021798
Dec 30  2018,0.022500
Dec 29  2018,0.022435
Dec 28  2018,0.022316
Dec 27  2018,0.022395
Dec 26  2018,0.023462
Dec 25  2018,0.028423
Dec 24  2018,0.032609
Dec 23  2018,0.023911
Dec 22  2018,0.022394
Dec 21  2018,0.023823
Dec 20  2018,0.025581
Dec 19  2018,0.025277
Dec 18  2018,0.025037
Dec 17  2018,0.025463
Dec 16  2018,0.023037
Dec 15  2018,0.023011
Dec 14  2018,0.023345
Dec 13  2018,0.023497
Dec 12  2018,0.027998
Dec 11  2018,0.022845
Dec 10  2018,0.024464
Dec 09  2018,0.025082
Dec 08  2018,0.031396
Dec 07  2018,0.036947
Dec 06  2018,0.052692
Dec 05  2018,0.023611
Dec 04  2018,0.023770
Dec 03  2018,0.024188
Dec 02  2018,0.031945
Dec 01  2018,0.024165
Nov 30  2018,0.023000
Nov 29  2018,0.024113
Nov 28  2018,0.026024
Nov 27  2018,0.021605
Nov 26  2018,0.024542
Nov 25  2018,0.023986
Nov 24  2018,0.026263
Nov 23  2018,0.026731
Nov 22  2018,0.029991
Nov 21  2018,0.029040
Nov 20  2018,0.034645
Nov 19  2018,0.040888
Nov 18  2018,0.045622
Nov 17  2018,0.046614
Nov 16  2018,0.046614
Nov 15  2018,0.047986
Nov 14  2018,0.058285
Nov 13  2018,0.058205
Nov 12  2018,0.058266
Nov 11  2018,0.058739
Nov 10  2018,0.059466
Nov 09  2018,0.062948
Nov 08  2018,0.061456
Nov 07  2018,0.061113
Nov 06  2018,0.060812
Nov 05  2018,0.060411
Nov 04  2018,0.061479
Nov 03  2018,0.064368
Nov 02  2018,0.064810
Nov 01  2018,0.062747
Oct 31  2018,0.062068
Oct 30  2018,0.062786
Oct 29  2018,0.066885
Oct 28  2018,0.072982
Oct 27  2018,0.091787
Oct 26  2018,0.079531
Oct 25  2018,0.063044
Oct 24  2018,0.059300
Oct 23  2018,0.051792
Oct 22  2018,0.053471
Oct 21  2018,0.051286
Oct 20  2018,0.050924
Oct 19  2018,0.055630
Oct 18  2018,0.051013
Oct 17  2018,0.052094
Oct 16  2018,0.052605
Oct 15  2018,0.054165
Oct 14  2018,0.055326
Oct 13  2018,0.054630
Oct 12  2018,0.050877
Oct 11  2018,0.055456
Oct 10  2018,0.056829
Oct 09  2018,0.061131
Oct 08  2018,0.067725
Oct 07  2018,0.055806
Oct 06  2018,0.057230
Oct 05  2018,0.058597
Oct 04  2018,0.056855
Oct 03  2018,0.057997
Oct 02  2018,0.061686
Oct 01  2018,0.061169
Sep 30  2018,0.058868
Sep 29  2018,0.056861
Sep 28  2018,0.058132
Sep 27  2018,0.057287
Sep 26  2018,0.057080
Sep 25  2018,0.058324
Sep 24  2018,0.059619
Sep 23  2018,0.060427
Sep 22  2018,0.057144
Sep 21  2018,0.057446
Sep 20  2018,0.058971
Sep 19  2018,0.057490
Sep 18  2018,0.056134
Sep 17  2018,0.057522
Sep 16  2018,0.057751
Sep 15  2018,0.056345
Sep 14  2018,0.058746
Sep 13  2018,0.057373
Sep 12  2018,0.057249
Sep 11  2018,0.058846
Sep 10  2018,0.058069
Sep 09  2018,0.058605
Sep 08  2018,0.059216
Sep 07  2018,0.061858
Sep 06  2018,0.063558
Sep 05  2018,0.075649
Sep 04  2018,0.075500
Sep 03  2018,0.082825
Sep 02  2018,0.079222
Sep 01  2018,0.078767
Aug 31  2018,0.081577
Aug 30  2018,0.089031
Aug 29  2018,0.075302
Aug 28  2018,0.074776
Aug 27  2018,0.074396
Aug 26  2018,0.079952
Aug 25  2018,0.082805
Aug 24  2018,0.086764
Aug 23  2018,0.094143
Aug 22  2018,0.115779
Aug 21  2018,0.064611
Aug 20  2018,0.080647
Aug 19  2018,0.062883
Aug 18  2018,0.067473
Aug 17  2018,0.068632
Aug 16  2018,0.058761
Aug 15  2018,0.061929
Aug 14  2018,0.062804
Aug 13  2018,0.064220
Aug 12  2018,0.067569
Aug 11  2018,0.079084
Aug 10  2018,0.084336
Aug 09  2018,0.084618
Aug 08  2018,0.094239
Aug 07  2018,0.099521
Aug 06  2018,0.101195
Aug 05  2018,0.101148
Aug 04  2018,0.107216
Aug 03  2018,0.112327
Aug 02  2018,0.121042
Aug 01  2018,0.124845
Jul 31  2018,0.131114
Jul 30  2018,0.126144
Jul 29  2018,0.125199
Jul 28  2018,0.125097
Jul 27  2018,0.122557
Jul 26  2018,0.136985
Jul 25  2018,0.128014
Jul 24  2018,0.157512
Jul 23  2018,0.118538
Jul 22  2018,0.129279
Jul 21  2018,0.125208
Jul 20  2018,0.130646
Jul 19  2018,0.132939
Jul 18  2018,0.126543
Jul 17  2018,0.121021
Jul 16  2018,0.110642
Jul 15  2018,0.108196
Jul 14  2018,0.107722
Jul 13  2018,0.107971
Jul 12  2018,0.107676
Jul 11  2018,0.107228
Jul 10  2018,0.113622
Jul 09  2018,0.109949
Jul 08  2018,0.116832
Jul 07  2018,0.113895
Jul 06  2018,0.117123
